timestamp, name, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu
2026/08/03 13:56:39.138, NVIDIA GeForce RTX 4090, P8, 46 %, 3 %, 872 MiB, 210 MHz, 405 MHz, 11.79 W, 450.00 W, 35
2026/08/03 13:56:39.363, NVIDIA GeForce RTX 4090, P8, 31 %, 2 %, 874 MiB, 210 MHz, 405 MHz, 11.75 W, 450.00 W, 35
2026/08/03 13:56:39.569, NVIDIA GeForce RTX 4090, P8, 33 %, 2 %, 874 MiB, 210 MHz, 405 MHz, 11.41 W, 450.00 W, 35
2026/08/03 13:56:39.774, NVIDIA GeForce RTX 4090, P8, 35 %, 2 %, 874 MiB, 210 MHz, 405 MHz, 11.45 W, 450.00 W, 35
2026/08/03 13:56:39.977, NVIDIA GeForce RTX 4090, P8, 35 %, 2 %, 874 MiB, 210 MHz, 405 MHz, 11.18 W, 450.00 W, 35
2026/08/03 13:56:40.191, NVIDIA GeForce RTX 4090, P8, 44 %, 2 %, 874 MiB, 210 MHz, 405 MHz, 11.18 W, 450.00 W, 35
2026/08/03 13:56:40.397, NVIDIA GeForce RTX 4090, P8, 44 %, 2 %, 874 MiB, 210 MHz, 405 MHz, 11.29 W, 450.00 W, 35
2026/08/03 13:56:40.607, NVIDIA GeForce RTX 4090, P8, 45 %, 3 %, 874 MiB, 210 MHz, 405 MHz, 11.43 W, 450.00 W, 35
2026/08/03 13:56:40.813, NVIDIA GeForce RTX 4090, P8, 45 %, 3 %, 874 MiB, 210 MHz, 405 MHz, 11.52 W, 450.00 W, 35
2026/08/03 13:56:41.016, NVIDIA GeForce RTX 4090, P8, 43 %, 3 %, 874 MiB, 210 MHz, 405 MHz, 11.52 W, 450.00 W, 35
2026/08/03 13:56:41.236, NVIDIA GeForce RTX 4090, P8, 44 %, 1 %, 874 MiB, 210 MHz, 405 MHz, 11.52 W, 450.00 W, 35
2026/08/03 13:56:41.454, NVIDIA GeForce RTX 4090, P8, 45 %, 2 %, 874 MiB, 210 MHz, 405 MHz, 11.61 W, 450.00 W, 35
2026/08/03 13:56:41.680, NVIDIA GeForce RTX 4090, P8, 44 %, 2 %, 875 MiB, 210 MHz, 405 MHz, 11.44 W, 450.00 W, 35
2026/08/03 13:56:41.906, NVIDIA GeForce RTX 4090, P8, 46 %, 3 %, 875 MiB, 210 MHz, 405 MHz, 11.54 W, 450.00 W, 35
2026/08/03 13:56:42.132, NVIDIA GeForce RTX 4090, P8, 45 %, 2 %, 865 MiB, 210 MHz, 405 MHz, 11.69 W, 450.00 W, 35
2026/08/03 13:56:42.353, NVIDIA GeForce RTX 4090, P8, 44 %, 3 %, 865 MiB, 210 MHz, 405 MHz, 11.78 W, 450.00 W, 35
2026/08/03 13:56:42.568, NVIDIA GeForce RTX 4090, P8, 43 %, 1 %, 865 MiB, 210 MHz, 405 MHz, 12.00 W, 450.00 W, 35
2026/08/03 13:56:42.771, NVIDIA GeForce RTX 4090, P8, 45 %, 3 %, 865 MiB, 210 MHz, 405 MHz, 11.97 W, 450.00 W, 35
2026/08/03 13:56:42.974, NVIDIA GeForce RTX 4090, P2, 48 %, 4 %, 1351 MiB, 2520 MHz, 10451 MHz, 12.03 W, 450.00 W, 35
2026/08/03 13:56:43.186, NVIDIA GeForce RTX 4090, P2, 65 %, 2 %, 3215 MiB, 2775 MHz, 10451 MHz, 20.07 W, 450.00 W, 35
2026/08/03 13:56:43.395, NVIDIA GeForce RTX 4090, P2, 80 %, 2 %, 4447 MiB, 2775 MHz, 10451 MHz, 36.63 W, 450.00 W, 35
2026/08/03 13:56:43.598, NVIDIA GeForce RTX 4090, P2, 77 %, 2 %, 5789 MiB, 2775 MHz, 10451 MHz, 47.30 W, 450.00 W, 36
2026/08/03 13:56:43.803, NVIDIA GeForce RTX 4090, P2, 68 %, 2 %, 7329 MiB, 2775 MHz, 10451 MHz, 58.42 W, 450.00 W, 36
2026/08/03 13:56:44.007, NVIDIA GeForce RTX 4090, P2, 79 %, 2 %, 8759 MiB, 2775 MHz, 10451 MHz, 69.41 W, 450.00 W, 36
2026/08/03 13:56:44.222, NVIDIA GeForce RTX 4090, P2, 56 %, 1 %, 8839 MiB, 2775 MHz, 10451 MHz, 71.31 W, 450.00 W, 37
2026/08/03 13:56:44.425, NVIDIA GeForce RTX 4090, P2, 22 %, 2 %, 8877 MiB, 2775 MHz, 10451 MHz, 73.74 W, 450.00 W, 37
2026/08/03 13:56:44.632, NVIDIA GeForce RTX 4090, P2, 40 %, 8 %, 9025 MiB, 2775 MHz, 10451 MHz, 89.79 W, 450.00 W, 37
2026/08/03 13:56:44.837, NVIDIA GeForce RTX 4090, P2, 63 %, 16 %, 12787 MiB, 2775 MHz, 10451 MHz, 100.81 W, 450.00 W, 41
2026/08/03 13:56:45.042, NVIDIA GeForce RTX 4090, P2, 65 %, 39 %, 12937 MiB, 2775 MHz, 10451 MHz, 118.64 W, 450.00 W, 41
2026/08/03 13:56:45.260, NVIDIA GeForce RTX 4090, P2, 58 %, 33 %, 12937 MiB, 2775 MHz, 10451 MHz, 139.58 W, 450.00 W, 41
2026/08/03 13:56:45.484, NVIDIA GeForce RTX 4090, P2, 42 %, 26 %, 12937 MiB, 2775 MHz, 10451 MHz, 155.67 W, 450.00 W, 41
2026/08/03 13:56:45.703, NVIDIA GeForce RTX 4090, P2, 63 %, 39 %, 12937 MiB, 2775 MHz, 10451 MHz, 159.22 W, 450.00 W, 40
2026/08/03 13:56:45.921, NVIDIA GeForce RTX 4090, P2, 65 %, 40 %, 12937 MiB, 2775 MHz, 10451 MHz, 169.11 W, 450.00 W, 40
2026/08/03 13:56:46.139, NVIDIA GeForce RTX 4090, P2, 63 %, 37 %, 12937 MiB, 2775 MHz, 10451 MHz, 168.85 W, 450.00 W, 43
2026/08/03 13:56:46.348, NVIDIA GeForce RTX 4090, P2, 67 %, 40 %, 12937 MiB, 2775 MHz, 10451 MHz, 174.92 W, 450.00 W, 43
2026/08/03 13:56:46.553, NVIDIA GeForce RTX 4090, P2, 67 %, 41 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.80 W, 450.00 W, 43
2026/08/03 13:56:46.760, NVIDIA GeForce RTX 4090, P2, 66 %, 38 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.51 W, 450.00 W, 42
2026/08/03 13:56:46.966, NVIDIA GeForce RTX 4090, P2, 60 %, 33 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.43 W, 450.00 W, 42
2026/08/03 13:56:47.184, NVIDIA GeForce RTX 4090, P2, 67 %, 41 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.53 W, 450.00 W, 40
2026/08/03 13:56:47.405, NVIDIA GeForce RTX 4090, P2, 65 %, 41 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.03 W, 450.00 W, 40
2026/08/03 13:56:47.626, NVIDIA GeForce RTX 4090, P2, 65 %, 38 %, 12937 MiB, 2775 MHz, 10451 MHz, 179.94 W, 450.00 W, 43
2026/08/03 13:56:47.847, NVIDIA GeForce RTX 4090, P2, 66 %, 39 %, 12937 MiB, 2775 MHz, 10451 MHz, 181.23 W, 450.00 W, 43
2026/08/03 13:56:48.071, NVIDIA GeForce RTX 4090, P2, 64 %, 39 %, 12937 MiB, 2775 MHz, 10451 MHz, 181.21 W, 450.00 W, 42
2026/08/03 13:56:48.288, NVIDIA GeForce RTX 4090, P2, 65 %, 40 %, 13971 MiB, 2775 MHz, 10451 MHz, 175.71 W, 450.00 W, 42
2026/08/03 13:56:48.504, NVIDIA GeForce RTX 4090, P2, 63 %, 31 %, 14711 MiB, 2775 MHz, 10451 MHz, 180.97 W, 450.00 W, 41
2026/08/03 13:56:48.725, NVIDIA GeForce RTX 4090, P2, 66 %, 40 %, 14711 MiB, 2775 MHz, 10451 MHz, 175.95 W, 450.00 W, 41
2026/08/03 13:56:48.944, NVIDIA GeForce RTX 4090, P2, 66 %, 39 %, 1377 MiB, 2775 MHz, 10451 MHz, 153.87 W, 450.00 W, 39
2026/08/03 13:56:49.158, NVIDIA GeForce RTX 4090, P2, 8 %, 0 %, 1343 MiB, 2775 MHz, 10451 MHz, 131.57 W, 450.00 W, 39
